sample frequency block_frequency runs longest_run serial
1 0.964329 0.0626497 0.319197 0.509268 0.0263638
2 0.0365529 0.892603 0.600756 0.682542 0.123072
3 0.679114 0.766231 0.669938 0.355456 0.00697994
4 0.57615 0.28782 0.211173 0.172656 0.286045
5 0.687322 0.397993 0.630083 0.0512604 0.486616
6 0.910979 0.403428 0.0953053 0.650222 0.0774155
7 0.607045 0.379145 0.212007 0.979136 0.233211
8 0.788447 0.637027 0.899118 0.75109 0.689157
9 0.771289 0.590779 0.542918 0.994802 0.0643915
10 0.0162268 0.0701254 0.257804 0.548236 0.0199102
11 0.481208 0.874082 0.732418 0.691276 0.214525
12 0.359254 0.0274181 0.0299463 0.0107916 0.0108864
13 0.325179 0.498356 0.62131 0.199792 0.163127
14 0.797065 0.30106 0.930493 0.982439 0.0344219
15 0.319712 0.734306 0.902439 0.454999 0.0715925
16 0.495238 0.874082 0.765259 0.266778 0.132786
17 0.0588279 0.918303 0.24905 0.40169 0.00830878
18 0.771289 0.997642 0.911605 0.218387 0.302646
19 0.728899 0.904241 0.942899 0.277494 0.655024
20 0.788447 0.214909 0.194889 0.33824 0.303794
