Выборка размер среднее отклонение коэффициент_вариации
1 1000 2.11111e+09 1.27068e+09 0.601902
2 1000 2.1511e+09 1.24245e+09 0.577586
3 1000 2.14051e+09 1.22835e+09 0.57386
4 1000 2.11208e+09 1.25752e+09 0.595395
5 1000 2.18286e+09 1.25151e+09 0.573334
6 1000 2.20046e+09 1.24285e+09 0.564816
7 1000 2.12521e+09 1.26633e+09 0.595862
8 1000 2.13501e+09 1.25857e+09 0.589491
9 1000 2.12201e+09 1.24154e+09 0.585075
10 1000 2.15993e+09 1.23382e+09 0.571233
11 1000 2.1016e+09 1.22632e+09 0.58352
12 1000 2.17385e+09 1.24882e+09 0.574473
13 1000 2.1694e+09 1.24829e+09 0.57541
14 1000 2.09443e+09 1.25956e+09 0.601386
15 1000 2.11733e+09 1.25048e+09 0.590591
16 1000 2.1841e+09 1.31092e+09 0.600211
17 1000 2.25349e+09 1.22281e+09 0.542629
18 1000 2.21045e+09 1.22833e+09 0.55569
19 1000 2.20065e+09 1.22515e+09 0.556721
20 1000 2.10671e+09 1.25416e+09 0.595319
